"patient_id","question_id","model","score_bleu","score_rouge_l","score_bert"
41,4,"llama3.3-70b",0.16330658,0.4918033,0.9354945
41,5,"llama3.3-70b",1.0,1.0,1.0
41,6,"llama3.3-70b",0.3733267,0.79545456,0.9634053
41,7,"llama3.3-70b",0.28997844,0.6956522,0.9508931
41,8,"llama3.3-70b",0.0,0.7692308,0.9586556
41,9,"llama3.3-70b",0.25495568,0.7226891,0.9400724
42,0,"llama3.3-70b",0.4977031,0.7647059,0.96168464
42,1,"llama3.3-70b",0.0,0.1904762,0.8839688
42,2,"llama3.3-70b",0.20350413,0.51282054,0.9338433
42,3,"llama3.3-70b",0.2358363,0.63235295,0.9380906
42,4,"llama3.3-70b",0.077162616,0.30769232,0.90249014
42,5,"llama3.3-70b",1.0,1.0,1.0
42,6,"llama3.3-70b",0.0,0.5405405,0.93049145
42,7,"llama3.3-70b",0.0,0.6,0.9076692
42,8,"llama3.3-70b",0.0,0.7692308,0.9586556
42,9,"llama3.3-70b",0.32952198,0.68,0.9435115
43,0,"llama3.3-70b",0.7061671,0.8965517,0.98723716
43,1,"llama3.3-70b",0.7348889,0.9166667,0.9837962
43,2,"llama3.3-70b",0.0,0.2,0.8570668
43,3,"llama3.3-70b",0.053825986,0.26666668,0.90696275
43,4,"llama3.3-70b",0.0,0.4651163,0.9400803
43,5,"llama3.3-70b",0.8423627,1.0,0.9926212
43,6,"llama3.3-70b",0.0,0.40625,0.8866771
43,7,"llama3.3-70b",0.59460354,1.0,0.9873173
43,8,"llama3.3-70b",0.0,1.0,0.98292255
43,9,"llama3.3-70b",0.0,0.17391305,0.8491086
44,0,"llama3.3-70b",0.5638666,0.8333333,0.9707913
44,1,"llama3.3-70b",0.0,0.3478261,0.8958704
44,2,"llama3.3-70b",0.1587747,0.5365854,0.93063277
44,3,"llama3.3-70b",0.5099701,0.78846157,0.9596253
44,4,"llama3.3-70b",0.2037274,0.38235295,0.9201668
44,5,"llama3.3-70b",0.59741783,0.962963,0.9861157
44,6,"llama3.3-70b",0.21784334,0.64102566,0.9434366
44,7,"llama3.3-70b",0.7419447,1.0,0.9929706
44,8,"llama3.3-70b",0.0,0.6666667,0.9528417
44,9,"llama3.3-70b",0.3276398,0.60714287,0.9406078
45,0,"llama3.3-70b",0.57693034,0.8125,0.9721345
45,1,"llama3.3-70b",1.0,1.0,0.9999998
45,2,"llama3.3-70b",0.14581709,0.4651163,0.9266506
45,3,"llama3.3-70b",0.34618834,0.67826086,0.9366685
45,4,"llama3.3-70b",0.24323907,0.5538462,0.9384611
45,5,"llama3.3-70b",0.0,0.25,0.8585817
45,6,"llama3.3-70b",0.22843578,0.5945946,0.939088
45,7,"llama3.3-70b",0.7419447,1.0,0.9929706
45,8,"llama3.3-70b",0.0,0.7692308,0.9586556
45,9,"llama3.3-70b",0.27334726,0.59615386,0.93331933
46,0,"llama3.3-70b",1.0,1.0,1.0000001
46,1,"llama3.3-70b",0.7778111,0.9411765,0.9941931
46,2,"llama3.3-70b",1.0,1.0,1.0
46,3,"llama3.3-70b",0.0,0.4,0.92916703
46,4,"llama3.3-70b",0.24941747,0.44444445,0.9426745
46,5,"llama3.3-70b",0.8555262,1.0,0.9931808
46,6,"llama3.3-70b",0.0,0.25,0.8771772
46,7,"llama3.3-70b",0.3326025,0.8333333,0.9728275
46,8,"llama3.3-70b",0.0,0.14925373,0.8803617
46,9,"llama3.3-70b",0.3395237,0.7559055,0.9593679
47,0,"llama3.3-70b",0.68951,0.9195402,0.9781672
47,1,"llama3.3-70b",0.18922405,0.5925926,0.9401516
47,2,"llama3.3-70b",0.1341582,0.45454547,0.9296625
47,3,"llama3.3-70b",0.2670039,0.704918,0.9432419
47,4,"llama3.3-70b",0.19518444,0.44155845,0.92396796
47,5,"llama3.3-70b",0.8423627,1.0,0.99366903
47,6,"llama3.3-70b",0.55395377,0.85057473,0.96969295
47,7,"llama3.3-70b",0.22006397,0.7826087,0.9584061
47,8,"llama3.3-70b",0.0,0.6666667,0.9528417
47,9,"llama3.3-70b",0.38921165,0.6956522,0.9479522
48,0,"llama3.3-70b",0.27379325,0.54545456,0.9368312
48,1,"llama3.3-70b",0.23124462,0.5925926,0.93939847
48,2,"llama3.3-70b",0.14581709,0.4651163,0.9324953
48,3,"llama3.3-70b",0.5337885,0.85714287,0.9611228
48,4,"llama3.3-70b",0.26700193,0.55421686,0.935535
48,5,"llama3.3-70b",0.8423627,1.0,0.9931464
48,6,"llama3.3-70b",0.11203755,0.5423729,0.92134744
48,7,"llama3.3-70b",0.27901593,0.85714287,0.96419907
48,8,"llama3.3-70b",0.0,0.13513513,0.8763521
48,9,"llama3.3-70b",0.0,0.14893617,0.85533214
49,0,"llama3.3-70b",0.5763636,0.7619048,0.9658175
49,1,"llama3.3-70b",0.48326978,0.7826087,0.9670556
49,2,"llama3.3-70b",0.17226253,0.4878049,0.93083227
49,3,"llama3.3-70b",0.4562633,0.81632656,0.9738519
49,4,"llama3.3-70b",0.086329736,0.33333334,0.9132078
49,5,"llama3.3-70b",0.59741783,0.962963,0.9861157
49,6,"llama3.3-70b",0.0,0.08888889,0.8382783
49,7,"llama3.3-70b",0.0,0.45454547,0.94166535
49,8,"llama3.3-70b",0.0,0.5555556,0.91224706
49,9,"llama3.3-70b",0.3327632,0.6530612,0.93919855
50,0,"llama3.3-70b",0.7962044,0.9375,0.989556
50,1,"llama3.3-70b",0.7348889,0.9166667,0.98653597
50,2,"llama3.3-70b",0.086358,0.36,0.87420905
50,3,"llama3.3-70b",0.0,0.4,0.94715005
50,4,"llama3.3-70b",0.0,0.36363637,0.91190857
50,5,"llama3.3-70b",0.8265168,0.9166667,0.9760463
50,6,"llama3.3-70b",0.11602405,0.3548387,0.9010329
50,7,"llama3.3-70b",0.467138,0.95238096,0.9839644
50,8,"llama3.3-70b",0.0,1.0,0.9831574
50,9,"llama3.3-70b",0.18453817,0.59130436,0.93103963
51,0,"llama3.3-70b",0.4490518,0.7761194,0.9669973
51,1,"llama3.3-70b",0.59694916,0.8888889,0.99327046
51,2,"llama3.3-70b",0.1642493,0.4888889,0.92824763
51,3,"llama3.3-70b",0.21300103,0.75714284,0.9226755
51,4,"llama3.3-70b",0.3841283,0.6984127,0.95531714
51,5,"llama3.3-70b",0.8423627,1.0,0.9931791
51,6,"llama3.3-70b",0.17580539,0.72727275,0.9512701
51,7,"llama3.3-70b",0.27901593,0.85714287,0.9675128
51,8,"llama3.3-70b",0.0,0.6666667,0.9528417
51,9,"llama3.3-70b",0.1812659,0.6074074,0.91016555
52,0,"llama3.3-70b",0.3571287,0.48,0.92998916
52,1,"llama3.3-70b",0.59694916,0.8888889,0.99327046
52,2,"llama3.3-70b",0.22070612,0.5,0.92880636
52,3,"llama3.3-70b",0.3979135,0.6722689,0.9459331
52,4,"llama3.3-70b",0.25556463,0.5625,0.9322555
52,5,"llama3.3-70b",0.09709356,0.3448276,0.89204377
52,6,"llama3.3-70b",0.2082076,0.56,0.9288374
52,7,"llama3.3-70b",0.4497332,0.95652175,0.9867304
52,8,"llama3.3-70b",0.0,0.6666667,0.9528417
52,9,"llama3.3-70b",0.23648888,0.6363636,0.9353932
53,0,"llama3.3-70b",1.0,1.0,1.0
53,1,"llama3.3-70b",0.5873949,1.0,0.990374
53,2,"llama3.3-70b",0.13911398,0.4347826,0.92810506
53,3,"llama3.3-70b",0.20880234,0.44444445,0.91723055
53,4,"llama3.3-70b",0.25556463,0.53125,0.93190366
53,5,"llama3.3-70b",0.0,0.47272727,0.9205056
53,6,"llama3.3-70b",0.22709262,0.6966292,0.9518957
53,7,"llama3.3-70b",0.5193072,1.0,0.98847467
53,8,"llama3.3-70b",1.0,1.0,0.9999999
53,9,"llama3.3-70b",0.23554464,0.52100843,0.9201665
54,0,"llama3.3-70b",0.39189747,0.6086956,0.9471855
54,1,"llama3.3-70b",1.0,1.0,0.99999994
54,2,"llama3.3-70b",0.0,0.23728813,0.85592425
54,3,"llama3.3-70b",0.52769035,0.870229,0.9642658
54,4,"llama3.3-70b",0.24695373,0.5074627,0.93546844
54,5,"llama3.3-70b",0.0,0.42424244,0.89941514
54,6,"llama3.3-70b",0.277145,0.65882355,0.94221896
54,7,"llama3.3-70b",0.5193072,1.0,0.98847467
54,8,"llama3.3-70b",0.0,0.6666667,0.9528417
54,9,"llama3.3-70b",0.28701988,0.71666664,0.9437768
55,0,"llama3.3-70b",0.74233425,0.8965517,0.9773292
55,1,"llama3.3-70b",0.35738802,0.8,0.9734447
55,2,"llama3.3-70b",0.0,0.22857143,0.85386306
55,3,"llama3.3-70b",0.16170822,0.736,0.9176258
55,4,"llama3.3-70b",0.06740996,0.27118644,0.89593923
55,5,"llama3.3-70b",0.8423627,1.0,0.9931791
55,6,"llama3.3-70b",0.1726099,0.69135803,0.944661
55,7,"llama3.3-70b",0.59460354,1.0,0.9879457
55,8,"llama3.3-70b",0.0,1.0,0.98339206
55,9,"llama3.3-70b",0.18498749,0.67256635,0.9060555
56,0,"llama3.3-70b",0.6007308,0.8674699,0.97805566
56,1,"llama3.3-70b",0.0,0.3478261,0.8927336
56,2,"llama3.3-70b",0.22118947,0.5263158,0.9278576
56,3,"llama3.3-70b",0.5172236,0.8347826,0.95054954
56,4,"llama3.3-70b",0.23559184,0.5294118,0.93141335
56,5,"llama3.3-70b",1.0,1.0,1.0
56,6,"llama3.3-70b",0.32240152,0.6987952,0.94613177
56,7,"llama3.3-70b",0.28256774,0.85714287,0.9621576
56,8,"llama3.3-70b",0.0,0.6666667,0.9528417
56,9,"llama3.3-70b",0.0,0.1724138,0.83355576
57,0,"llama3.3-70b",0.11193402,0.32,0.8975866
57,1,"llama3.3-70b",1.0,1.0,0.9999999
57,2,"llama3.3-70b",0.18957952,0.55813956,0.9304432
57,3,"llama3.3-70b",0.55827814,0.8429752,0.95213884
57,4,"llama3.3-70b",0.087742165,0.33333334,0.90180844
57,5,"llama3.3-70b",0.6997522,0.9285714,0.98706895
57,6,"llama3.3-70b",0.0,0.37974682,0.906567
57,7,"llama3.3-70b",0.36555523,0.6666667,0.9415095
57,8,"llama3.3-70b",0.0,0.6666667,0.9528417
57,9,"llama3.3-70b",0.33080542,0.5681818,0.92077726
59,0,"llama3.3-70b",0.6560903,0.90909094,0.98632264
59,1,"llama3.3-70b",1.0,1.0,0.9999998
59,2,"llama3.3-70b",0.14581709,0.4651163,0.9294494
59,3,"llama3.3-70b",0.3875456,0.77310926,0.9571738
59,4,"llama3.3-70b",0.37110418,0.64615387,0.9500396
59,5,"llama3.3-70b",0.8265168,1.0,0.9925594
59,6,"llama3.3-70b",0.0,0.7,0.94699454
59,7,"llama3.3-70b",0.7419447,1.0,0.9929706
59,8,"llama3.3-70b",0.0,1.0,0.98339206
59,9,"llama3.3-70b",0.19656633,0.5470086,0.91247183
60,0,"llama3.3-70b",0.40335822,0.4857143,0.939036
60,1,"llama3.3-70b",1.0,1.0,0.99999994
60,2,"llama3.3-70b",0.13773888,0.45454547,0.9301252
60,3,"llama3.3-70b",0.5963131,0.9423077,0.97030747
60,4,"llama3.3-70b",0.27216208,0.53125,0.9322965
60,5,"llama3.3-70b",0.11084119,0.39215687,0.8889932
60,6,"llama3.3-70b",0.4011326,0.775,0.95546913
60,7,"llama3.3-70b",0.5193072,1.0,0.98847467
60,8,"llama3.3-70b",0.0,0.6666667,0.9528417
60,9,"llama3.3-70b",0.19186778,0.5535714,0.9157166
61,0,"llama3.3-70b",0.41737443,0.73015875,0.9600467
61,1,"llama3.3-70b",0.35738802,0.8,0.9734447
61,2,"llama3.3-70b",0.23835357,0.51282054,0.92662555
61,3,"llama3.3-70b",0.34710646,0.7304348,0.9422642
61,4,"llama3.3-70b",0.29753253,0.56666666,0.937343
61,5,"llama3.3-70b",0.8423627,1.0,0.9931791
61,6,"llama3.3-70b",0.0,0.56,0.93458235
61,7,"llama3.3-70b",0.27901593,0.85714287,0.9675128
61,8,"llama3.3-70b",0.0,0.7692308,0.9586556
61,9,"llama3.3-70b",0.39509186,0.72727275,0.95009017
62,0,"llama3.3-70b",1.0,1.0,1.0
62,1,"llama3.3-70b",0.67808145,0.9166667,0.9802721
62,2,"llama3.3-70b",0.22118947,0.5263158,0.9278576
62,3,"llama3.3-70b",0.6367028,0.8869565,0.9638738
62,4,"llama3.3-70b",0.077162616,0.30769232,0.90249014
62,5,"llama3.3-70b",1.0,1.0,1.0000001
62,6,"llama3.3-70b",0.0,0.09876543,0.85227996
62,7,"llama3.3-70b",0.10924856,0.47368422,0.92011964
62,8,"llama3.3-70b",0.0,0.7692308,0.9586556
62,9,"llama3.3-70b",0.41492626,0.67346936,0.94523084
63,0,"llama3.3-70b",0.3584921,0.5294118,0.94148415
63,1,"llama3.3-70b",0.59694916,0.8888889,0.98356545
63,2,"llama3.3-70b",0.0,0.14285715,0.8424359
63,3,"llama3.3-70b",0.52068764,0.70866144,0.9644789
63,4,"llama3.3-70b",0.07522401,0.2,0.87333584
63,5,"llama3.3-70b",0.8265168,1.0,0.9925594
63,6,"llama3.3-70b",0.15339248,0.5822785,0.9315565
63,7,"llama3.3-70b",0.59460354,1.0,0.9879457
63,8,"llama3.3-70b",0.0,0.6666667,0.9528417
63,9,"llama3.3-70b",0.19408059,0.54545456,0.9177331
64,0,"llama3.3-70b",0.2291517,0.52,0.9402398
64,1,"llama3.3-70b",0.8492327,0.94736844,0.9956856
64,2,"llama3.3-70b",0.56263113,0.7659575,0.9619848
64,3,"llama3.3-70b",0.14100024,0.5405405,0.9344106
64,4,"llama3.3-70b",0.23765153,0.42105263,0.9371153
64,5,"llama3.3-70b",0.8423627,1.0,0.99346596
64,6,"llama3.3-70b",0.0,0.3611111,0.8716124
64,7,"llama3.3-70b",0.312394,0.9,0.9797008
64,8,"llama3.3-70b",0.0,0.6666667,0.9499028
64,9,"llama3.3-70b",0.29605114,0.73504275,0.9518048
65,0,"llama3.3-70b",0.6284558,0.8607595,0.98171633
65,1,"llama3.3-70b",0.35738802,0.8,0.9734447
65,2,"llama3.3-70b",0.23835357,0.51282054,0.9274083
65,3,"llama3.3-70b",0.46838465,0.80898875,0.96404696
65,4,"llama3.3-70b",0.1989762,0.48,0.9256507
65,5,"llama3.3-70b",0.22743364,0.4090909,0.87670285
65,6,"llama3.3-70b",0.4240795,0.7764706,0.9563379
65,7,"llama3.3-70b",0.59460354,1.0,0.9879457
65,8,"llama3.3-70b",0.0,0.6666667,0.9528417
65,9,"llama3.3-70b",0.22972584,0.5904762,0.9302987
66,0,"llama3.3-70b",0.47780108,0.82051283,0.9684052
66,1,"llama3.3-70b",1.0,1.0,0.9999999
66,2,"llama3.3-70b",0.16225022,0.45454547,0.92870307
66,3,"llama3.3-70b",0.47350177,0.82758623,0.9551733
66,4,"llama3.3-70b",0.38100898,0.64615387,0.9462726
66,5,"llama3.3-70b",0.8423627,1.0,0.9931791
66,6,"llama3.3-70b",0.26922023,0.6987952,0.9514112
66,7,"llama3.3-70b",0.5193072,1.0,0.98847467
66,8,"llama3.3-70b",0.0,0.6666667,0.9528417
66,9,"llama3.3-70b",0.18718731,0.5,0.90368617
67,0,"llama3.3-70b",0.56263113,0.7755102,0.96746475
67,1,"llama3.3-70b",0.4336189,0.6363636,0.955294
67,2,"llama3.3-70b",0.32998955,0.375,0.90881866
67,3,"llama3.3-70b",0.45598868,0.8118812,0.9444466
67,4,"llama3.3-70b",0.25837132,0.51724136,0.93259
67,5,"llama3.3-70b",0.8423627,1.0,0.99295104
67,6,"llama3.3-70b",0.24609114,0.64,0.93582195
67,7,"llama3.3-70b",0.27901593,0.85714287,0.96708864
67,8,"llama3.3-70b",0.0,0.6666667,0.9500614
67,9,"llama3.3-70b",0.21864983,0.6785714,0.9313008
68,0,"llama3.3-70b",0.51969975,0.6857143,0.95921564
68,1,"llama3.3-70b",1.0,1.0,0.9999999
68,2,"llama3.3-70b",0.14581709,0.4651163,0.9285542
68,3,"llama3.3-70b",0.4426701,0.8135593,0.95569277
68,4,"llama3.3-70b",0.30052835,0.49056605,0.94383293
68,5,"llama3.3-70b",0.8555262,1.0,0.9933529
68,6,"llama3.3-70b",0.29319656,0.8043478,0.96479374
68,7,"llama3.3-70b",0.4497332,0.95652175,0.98755527
68,8,"llama3.3-70b",0.0,0.6666667,0.9500606
68,9,"llama3.3-70b",0.3501331,0.6542056,0.9395018
69,0,"llama3.3-70b",0.40815142,0.59016395,0.9482388
69,1,"llama3.3-70b",0.0,0.17391305,0.8839803
69,2,"llama3.3-70b",0.0,0.28,0.8566655
69,3,"llama3.3-70b",0.5432528,0.8,0.9467454
69,4,"llama3.3-70b",0.46856043,0.7457627,0.9652917
69,5,"llama3.3-70b",0.8423627,1.0,0.9931791
69,6,"llama3.3-70b",0.0,0.45783132,0.9156088
69,7,"llama3.3-70b",0.59460354,1.0,0.9879457
69,8,"llama3.3-70b",0.0,0.6666667,0.9528417
69,9,"llama3.3-70b",0.21097621,0.6258503,0.94179815
70,0,"llama3.3-70b",0.6816329,0.87356323,0.9821966
70,1,"llama3.3-70b",0.439537,0.88,0.96948767
70,2,"llama3.3-70b",0.72925717,0.8695652,0.99039555
70,3,"llama3.3-70b",0.37680075,0.7647059,0.95773494
70,4,"llama3.3-70b",0.3990241,0.7058824,0.9483495
70,5,"llama3.3-70b",0.8423627,1.0,0.9922922
70,6,"llama3.3-70b",0.0,0.21686748,0.906962
70,7,"llama3.3-70b",0.7419447,1.0,0.9942712
70,8,"llama3.3-70b",0.0,1.0,0.9831574
70,9,"llama3.3-70b",0.27980763,0.5882353,0.93631566
71,0,"llama3.3-70b",0.61682785,0.8787879,0.97739524
71,1,"llama3.3-70b",1.0,1.0,1.0
71,2,"llama3.3-70b",0.16225022,0.45454547,0.92499113
71,3,"llama3.3-70b",0.6005774,0.79646015,0.9637113
71,4,"llama3.3-70b",0.17812705,0.4347826,0.9246678
71,5,"llama3.3-70b",0.8265168,1.0,0.9923326
71,6,"llama3.3-70b",0.29759967,0.7619048,0.9581509
71,7,"llama3.3-70b",0.59460354,1.0,0.9879457
71,8,"llama3.3-70b",0.0,0.6666667,0.9528417
71,9,"llama3.3-70b",0.48575142,0.75630254,0.9557478
72,0,"llama3.3-70b",0.57125306,0.8101266,0.96088946
72,1,"llama3.3-70b",0.38890556,0.6666667,0.94638276
72,2,"llama3.3-70b",0.42657068,0.6666667,0.9558577
72,3,"llama3.3-70b",0.0,0.3846154,0.93880546
72,4,"llama3.3-70b",0.0,0.3,0.9264973
72,5,"llama3.3-70b",0.4459127,0.84615386,0.95643055
72,6,"llama3.3-70b",0.0,0.45454547,0.9085083
72,7,"llama3.3-70b",0.27901593,0.85714287,0.96704733
72,8,"llama3.3-70b",0.0,0.11627907,0.86357015
72,9,"llama3.3-70b",0.4856279,0.82539684,0.9232544
73,0,"llama3.3-70b",0.5447515,0.73846155,0.96063393
73,1,"llama3.3-70b",0.7348889,0.9166667,0.9855273
73,2,"llama3.3-70b",0.17522359,0.4651163,0.92514795
73,3,"llama3.3-70b",0.5018875,0.7719298,0.9559857
73,4,"llama3.3-70b",0.48091033,0.6451613,0.9560716
73,5,"llama3.3-70b",0.8423627,1.0,0.99346596
73,6,"llama3.3-70b",0.0,0.5555556,0.93052995
73,7,"llama3.3-70b",0.27901593,0.85714287,0.9670755
73,8,"llama3.3-70b",0.0,0.6666667,0.9500606
73,9,"llama3.3-70b",0.2305284,0.5740741,0.92765266
74,0,"llama3.3-70b",0.29338878,0.6764706,0.95694613
74,1,"llama3.3-70b",0.0,0.33333334,0.90471816
74,2,"llama3.3-70b",0.15848918,0.47619048,0.92735463
74,3,"llama3.3-70b",0.53857917,0.8034188,0.9635947
74,4,"llama3.3-70b",0.2268302,0.4857143,0.92871445
74,5,"llama3.3-70b",0.8423627,1.0,0.99366903
74,6,"llama3.3-70b",0.0,0.5135135,0.9198643
74,7,"llama3.3-70b",0.47603524,0.8333333,0.9601848
74,8,"llama3.3-70b",0.0,0.6666667,0.9528417
74,9,"llama3.3-70b",0.24098654,0.62,0.9323431
75,0,"llama3.3-70b",1.0,1.0,1.0
75,1,"llama3.3-70b",0.35738802,0.8,0.9734447
75,2,"llama3.3-70b",0.0,0.28,0.85530806
75,3,"llama3.3-70b",0.4358925,0.8064516,0.94765043
75,4,"llama3.3-70b",0.33095875,0.6,0.94129574
75,5,"llama3.3-70b",0.8423627,1.0,0.9931791
75,6,"llama3.3-70b",0.24154916,0.70454544,0.95336485
75,7,"llama3.3-70b",0.27901593,0.85714287,0.9675128
75,8,"llama3.3-70b",0.0,0.6666667,0.9528417
75,9,"llama3.3-70b",0.20856269,0.6751592,0.9443305
76,0,"llama3.3-70b",0.3467779,0.5,0.9341324
76,1,"llama3.3-70b",1.0,1.0,0.9999998
76,2,"llama3.3-70b",0.22070612,0.5,0.93082017
76,3,"llama3.3-70b",0.45084238,0.6486486,0.9419485
76,4,"llama3.3-70b",0.4188217,0.5769231,0.95819503
76,5,"llama3.3-70b",0.0,0.41509435,0.9258081
76,6,"llama3.3-70b",0.32074705,0.72727275,0.95454246
76,7,"llama3.3-70b",0.7419447,1.0,0.9929706
76,8,"llama3.3-70b",0.0,0.6666667,0.9528417
76,9,"llama3.3-70b",0.18921097,0.4957265,0.9031949
77,0,"llama3.3-70b",0.6467391,0.84210527,0.9795381
77,1,"llama3.3-70b",0.59694916,0.8888889,0.99327046
77,2,"llama3.3-70b",0.1502374,0.44444445,0.9317716
77,3,"llama3.3-70b",0.5994563,0.848,0.9743012
77,4,"llama3.3-70b",0.08201663,0.34210527,0.91606706
77,5,"llama3.3-70b",1.0,1.0,1.0000001
77,6,"llama3.3-70b",0.56441045,0.9010989,0.97475326
77,7,"llama3.3-70b",0.7419447,1.0,0.9929706
77,8,"llama3.3-70b",0.0,0.6666667,0.9528417
77,9,"llama3.3-70b",0.5250588,0.8196721,0.9615946
78,0,"llama3.3-70b",0.6278065,0.9113924,0.98589855
78,1,"llama3.3-70b",0.59694916,0.8888889,0.98180497
78,2,"llama3.3-70b",0.23835357,0.51282054,0.93255526
78,3,"llama3.3-70b",0.36166102,0.75409836,0.95928586
78,4,"llama3.3-70b",0.24871287,0.49275362,0.9257964
78,5,"llama3.3-70b",0.24090844,0.44444445,0.94402105
78,6,"llama3.3-70b",0.116200514,0.6987952,0.94282657
78,7,"llama3.3-70b",0.59460354,1.0,0.9879457
78,8,"llama3.3-70b",0.0,0.6666667,0.9528417
78,9,"llama3.3-70b",0.2866913,0.7619048,0.954519
79,0,"llama3.3-70b",0.73732835,0.9350649,0.9849777
79,1,"llama3.3-70b",0.0,0.27586207,0.88509667
79,2,"llama3.3-70b",0.18923429,0.47619048,0.9324798
79,3,"llama3.3-70b",0.6000424,0.8196721,0.97480047
79,4,"llama3.3-70b",0.26729915,0.6086956,0.9446975
79,5,"llama3.3-70b",0.8423627,1.0,0.9923278
79,6,"llama3.3-70b",0.37847817,0.7294118,0.9584571
79,7,"llama3.3-70b",0.06364996,0.32,0.916856
79,8,"llama3.3-70b",0.0,0.6666667,0.9528417
79,9,"llama3.3-70b",0.30288705,0.6666667,0.9288298
80,0,"llama3.3-70b",0.76775795,0.95,0.98709905
80,1,"llama3.3-70b",1.0,1.0,1.0
80,2,"llama3.3-70b",0.14581709,0.4651163,0.9324953
80,3,"llama3.3-70b",0.681395,0.87142855,0.97015375
80,4,"llama3.3-70b",0.3781146,0.6875,0.95126754
80,5,"llama3.3-70b",0.63436085,0.9655172,0.98568326
80,6,"llama3.3-70b",0.24724641,0.75555557,0.95109594
80,7,"llama3.3-70b",0.5900469,0.75,0.9574415
80,8,"llama3.3-70b",0.0,0.6666667,0.95133424
80,9,"llama3.3-70b",0.33058384,0.60655737,0.92847836
81,0,"llama3.3-70b",0.87836504,0.974359,0.9944194
81,1,"llama3.3-70b",0.35738802,0.8,0.9734447
81,2,"llama3.3-70b",0.17522359,0.4651163,0.92525166
81,3,"llama3.3-70b",0.65461385,0.88,0.9698104
81,4,"llama3.3-70b",0.086732455,0.3125,0.8811027
81,5,"llama3.3-70b",0.8423627,1.0,0.9931791
81,6,"llama3.3-70b",0.3645853,0.78651685,0.96267265
81,7,"llama3.3-70b",0.7419447,1.0,0.9929706
81,8,"llama3.3-70b",0.0,0.7692308,0.9586556
81,9,"llama3.3-70b",0.30210823,0.64912283,0.9399301
82,0,"llama3.3-70b",0.50423884,0.5964912,0.9381545
82,1,"llama3.3-70b",0.25271147,0.8,0.9602588
82,2,"llama3.3-70b",0.14581709,0.4651163,0.92700654
82,3,"llama3.3-70b",0.7626967,0.9263158,0.9727661
82,4,"llama3.3-70b",0.27658892,0.59016395,0.94101185
82,5,"llama3.3-70b",0.8423627,1.0,0.99366903
82,6,"llama3.3-70b",0.0,0.20689656,0.85179335
82,7,"llama3.3-70b",0.5193072,1.0,0.98847467
82,8,"llama3.3-70b",0.0,0.7692308,0.9586556
82,9,"llama3.3-70b",0.24098654,0.6138614,0.9294534
83,0,"llama3.3-70b",0.15576153,0.34285715,0.90094006
83,1,"llama3.3-70b",1.0,1.0,1.0
83,2,"llama3.3-70b",0.14581709,0.4651163,0.9309658
83,3,"llama3.3-70b",0.4351144,0.75213677,0.9487871
83,4,"llama3.3-70b",0.36170152,0.6268657,0.9479791
83,5,"llama3.3-70b",0.8423627,1.0,0.9931791
83,6,"llama3.3-70b",0.0,0.12307692,0.8596819
83,7,"llama3.3-70b",0.5193072,1.0,0.98847467
83,8,"llama3.3-70b",0.0,0.6666667,0.9528417
83,9,"llama3.3-70b",0.21328901,0.56666666,0.9234032
84,0,"llama3.3-70b",0.777457,0.90909094,0.98613
84,1,"llama3.3-70b",1.0,1.0,1.0
84,2,"llama3.3-70b",0.18723284,0.5,0.9336503
84,3,"llama3.3-70b",0.63224334,0.89908254,0.9738887
84,4,"llama3.3-70b",0.54119533,0.81632656,0.97747266
84,5,"llama3.3-70b",0.8423627,1.0,0.9923162
84,6,"llama3.3-70b",0.43483478,0.7380952,0.9542853
84,7,"llama3.3-70b",0.59460354,1.0,0.98760825
84,8,"llama3.3-70b",0.0,1.0,0.9831574
84,9,"llama3.3-70b",0.2872434,0.6481481,0.9396639
85,0,"llama3.3-70b",0.8912371,0.98039216,0.9965134
85,1,"llama3.3-70b",0.5401726,0.7741935,0.96443343
85,2,"llama3.3-70b",0.0,0.23529412,0.87109464
85,3,"llama3.3-70b",0.30606306,0.5777778,0.94926715
85,4,"llama3.3-70b",0.10502425,0.3902439,0.90705526
85,5,"llama3.3-70b",0.8555262,1.0,0.9922748
85,6,"llama3.3-70b",0.092704594,0.37037036,0.8991382
85,7,"llama3.3-70b",0.7419447,1.0,0.994069
85,8,"llama3.3-70b",0.0,1.0,0.9831574
85,9,"llama3.3-70b",0.16800837,0.5471698,0.9180356
86,0,"llama3.3-70b",0.58660674,0.7906977,0.9721745
86,1,"llama3.3-70b",1.0,1.0,0.9999998
86,2,"llama3.3-70b",0.22118947,0.5263158,0.9348643
86,3,"llama3.3-70b",0.44632018,0.7747748,0.95378345
86,4,"llama3.3-70b",0.25556463,0.5714286,0.93629235
86,5,"llama3.3-70b",0.8423627,1.0,0.9931791
86,6,"llama3.3-70b",0.5257205,0.8045977,0.9697012
86,7,"llama3.3-70b",0.27901593,0.85714287,0.9675128
86,8,"llama3.3-70b",0.45480192,0.85714287,0.9705667
86,9,"llama3.3-70b",0.3405966,0.7326733,0.9522787
87,0,"llama3.3-70b",0.19035779,0.5423729,0.9406401
87,1,"llama3.3-70b",0.79465485,0.9444444,0.98787206
87,2,"llama3.3-70b",0.1341582,0.45454547,0.92858106
87,3,"llama3.3-70b",0.47397062,0.7809524,0.9461374
87,4,"llama3.3-70b",0.34596676,0.47058824,0.94576603
87,5,"llama3.3-70b",0.8423627,1.0,0.99346596
87,6,"llama3.3-70b",0.0,0.6075949,0.936106
